N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_FacilitiesInApt,Size(sqf),SalePrice,HallwayType_mixed,HallwayType_terraced,TimeToSubway_10min~15min,TimeToSubway_15min~20min,TimeToSubway_5min~10min,TimeToSubway_no_bus_stop_nearby,SubwayStation_Banwoldang,SubwayStation_Chil-sung-market,SubwayStation_Daegu,SubwayStation_Kyungbuk_uni_hospital,SubwayStation_Myung-duk,SubwayStation_Sin-nam,SubwayStation_no_subway_nearby,Age
0.0,3.0,2.0,1270.0,10,1387,346017,False,True,False,False,False,False,False,False,False,True,False,False,False,17
1.0,5.0,1.0,0.0,4,914,150442,False,True,True,False,False,False,False,False,False,True,False,False,False,38
1.0,7.0,3.0,56.0,5,558,61946,True,False,False,True,False,False,False,True,False,False,False,False,False,27
5.0,5.0,4.0,798.0,7,914,165486,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,1.0,2.0,536.0,5,1743,311504,False,True,False,False,False,False,False,False,False,False,False,True,False,18
1.0,7.0,3.0,56.0,5,558,118584,True,False,False,True,False,False,False,True,False,False,False,False,False,27
0.0,4.0,1.0,605.0,5,1334,326548,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,5.0,4.0,798.0,7,572,143362,True,False,False,False,True,False,False,False,False,False,False,False,False,19
2.0,2.0,1.0,203.0,5,910,172566,False,True,False,False,False,True,False,False,False,False,False,False,True,15
0.0,3.0,2.0,108.0,2,288,99823,False,False,False,False,True,False,True,False,False,False,False,False,False,10
1.0,5.0,1.0,0.0,4,1131,211504,False,True,True,False,False,False,False,False,False,True,False,False,False,38
5.0,7.0,5.0,1174.0,9,843,305309,False,True,False,False,False,False,False,False,False,False,True,False,False,10
5.0,5.0,4.0,798.0,7,572,145132,True,False,False,False,True,False,False,False,False,False,False,False,False,19
2.0,2.0,1.0,203.0,5,1160,209734,False,True,False,False,False,True,False,False,False,False,False,False,True,15
5.0,6.0,5.0,536.0,4,644,168141,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,5.0,3.0,930.0,7,644,144752,False,True,False,False,False,False,False,False,False,True,False,False,False,11
